Disaster,State,County,City,Zip Code,Valid Registrations,Total Inspected,Inspected with No Damage,Total with Moderate Damage,Total with Major Damage,Total with Substantial Damage,Approved for FEMA Assistance,Total Approved IHP Amount,Repair/Replace Amount,Rental Amount,Other Needs Amount,"Approved between $1 and $10,000","Approved between $10,001 and $25,000","Approved between $25,001 and Max",Total Max Grants
4339,PR,Toa Baja (Municipio),CAMPANILLA,949,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
4339,PR,Toa Baja (Municipio),CAMPANILLAS,949,3,3,2,1,0,0,1,6517,0,1106,5411,1,0,0,0
4339,PR,Toa Baja (Municipio),CAMPANILLAS TOA BAJA,949,1,1,1,0,0,0,1,500,0,0,500,1,0,0,0
4339,PR,Toa Baja (Municipio),CAMPANILLA TOA BAJA,949,7,7,5,0,2,0,6,21049,0,2024,19025,6,0,0,0
4339,PR,Toa Baja (Municipio),CANDELARIA,952,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
4339,PR,Toa Baja (Municipio),CANDELARIA ARENAS,951,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
4339,PR,Toa Baja (Municipio),CANDELARIA  TOA BAJA,952,1,1,1,0,0,0,1,963,0,0,963,1,0,0,0
4339,PR,Toa Baja (Municipio),CANDELARIA TOA BAJA,949,1,1,0,1,0,0,1,4499,0,1486,3013,1,0,0,0
4339,PR,Toa Baja (Municipio),CANDELARIA TOA BAJA,951,2,2,1,1,0,0,2,3572,0,1106,2466,2,0,0,0
4339,PR,Toa Baja (Municipio),CAPARRA TERRACE,921,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4339,PR,Toa Baja (Municipio),CAROLINA,985,1,1,1,0,0,0,1,878,0,0,878,1,0,0,0
4339,PR,Toa Baja (Municipio),COROZAL,783,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
4339,PR,Toa Baja (Municipio),DORADO,646,2,2,1,0,1,0,1,2347,0,918,1429,1,0,0,0
4339,PR,Toa Baja (Municipio),GUAYAMA,784,1,1,1,0,0,0,1,1162,0,0,1162,1,0,0,0
4339,PR,Toa Baja (Municipio),GUAYNABO,965,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
4339,PR,Toa Baja (Municipio),GUAYNABO,969,3,2,1,0,1,0,1,918,0,918,0,1,0,0,0
4339,PR,Toa Baja (Municipio),INGENIO,949,1,1,0,0,1,0,1,8438,0,1106,7332,1,0,0,0
4339,PR,Toa Baja (Municipio),INGENIO TOA BAJA,949,3,3,0,1,2,0,3,32140,0,2592,29548,2,1,0,0
